lang,lang_abv,commonName,simplifiedName,numFullNames,numLineNames
English (English),en,brown orange,brownorange,18,1
English (English),en,deep violet,deepviolet,18,1
English (English),en,blue black,blueblack,18,0
English (English),en,chartruse,chartruse,17,19
English (English),en,cranberry,cranberry,17,7
English (English),en,bright violet,brightviolet,17,5
English (English),en,violet purple,violetpurple,17,4
English (English),en,faded blue,fadedblue,17,4
English (English),en,very dark blue,verydarkblue,17,3
English (English),en,greenish,greenish,17,2
English (English),en,ocean green,oceangreen,17,2
English (English),en,very light green,verylightgreen,17,1
English (English),en,deep magenta,deepmagenta,17,1
English (English),en,leafy green,leafygreen,17,1
English (English),en,idk,idk,17,0
English (English),en,pale brown,palebrown,17,0
English (English),en,dirt brown,dirtbrown,17,0
English (English),en,brown grey,browngray,17,0
English (English),en,muddy green,muddygreen,17,0
English (English),en,very dark purple,verydarkpurple,17,0
English (English),en,dusky rose,duskyrose,17,0
English (English),en,steel grey,steelgray,17,0
English (English),en,rust orange,rustorange,16,7
English (English),en,spearmint,spearmint,16,6
English (English),en,burnt yellow,burntyellow,16,6
English (English),en,rusty orange,rustyorange,16,6
English (English),en,soft blue,softblue,16,5
English (English),en,dull orange,dullorange,16,5
English (English),en,electric pink,electricpink,16,4
English (English),en,ruby red,rubyred,16,4
English (English),en,dark mint,darkmint,16,2
English (English),en,darker green,darkergreen,16,2
English (English),en,dark mustard,darkmustard,16,2
English (English),en,scarlet red,scarletred,16,2
English (English),en,velvet,velvet,16,2
English (English),en,baby purple,babypurple,16,1
English (English),en,biege,biege,16,0
English (English),en,light lavender,lightlavender,16,0
English (English),en,dirt,dirt,16,0
English (English),en,pastel orange,pastelorange,16,0
English (English),en,greige,greige,16,0
English (English),en,rust red,rustred,16,0
English (English),en,grape purple,grapepurple,16,0
English (English),en,highlighter yellow,highlighteryellow,15,19
English (English),en,strawberry,strawberry,15,13
English (English),en,dark sky blue,darkskyblue,15,11
English (English),en,redish pink,redishpink,15,9
English (English),en,sunflower yellow,sunfloweryellow,15,8
English (English),en,sapphire,sapphire,15,8
English (English),en,light sky blue,lightskyblue,15,7
English (English),en,light lime,lightlime,15,5
English (English),en,dark lime green,darklimegreen,15,5
English (English),en,melon,melon,15,4
English (English),en,neon teal,neonteal,15,4
English (English),en,fuchsia pink,fuchsiapink,15,4
English (English),en,primary blue,primaryblue,15,3
English (English),en,vibrant purple,vibrantpurple,15,3
English (English),en,dusky blue,duskyblue,15,1
English (English),en,iris,iris,15,1
English (English),en,pear,pear,15,1
English (English),en,murky green,murkygreen,15,0
English (English),en,mossy green,mossygreen,15,0
English (English),en,sand yellow,sandyellow,15,0
English (English),en,asparagus,asparagus,15,0
English (English),en,duck egg blue,duckeggblue,15,0
English (English),en,mid green,midgreen,15,0
English (English),en,dark plum,darkplum,15,0
English (English),en,dark periwinkle,darkperiwinkle,15,0
English (English),en,poop brown,poopbrown,15,0
English (English),en,yellow tan,yellowtan,15,0
English (English),en,turquoise blue,turquoiseblue,14,13
English (English),en,sunflower,sunflower,14,10
English (English),en,puple,puple,14,8
English (English),en,acid green,acidgreen,14,8
English (English),en,green apple,greenapple,14,8
English (English),en,light neon green,lightneongreen,14,6
English (English),en,robin egg blue,robineggblue,14,6
English (English),en,light yellow green,lightyellowgreen,14,5
English (English),en,blurple,blurple,14,2
English (English),en,ugly green,uglygreen,14,1
English (English),en,light maroon,lightmaroon,14,1
English (English),en,tea green,teagreen,14,0
English (English),en,spruce,spruce,14,0
English (English),en,mud,mud,14,0
English (English),en,hazel,hazel,14,0
English (English),en,yellowish brown,yellowishbrown,14,0
English (English),en,deep brown,deepbrown,14,0
English (English),en,army,army,14,0
English (English),en,mocha,mocha,14,0
English (English),en,jean blue,jeanblue,14,0
English (English),en,canary yellow,canaryyellow,13,14
English (English),en,tomato red,tomatored,13,4
English (English),en,azure blue,azureblue,13,4
English (English),en,deep sea blue,deepseablue,13,4
English (English),en,slime green,slimegreen,13,4
English (English),en,bright mint,brightmint,13,3
English (English),en,key lime,keylime,13,3
English (English),en,butter yellow,butteryellow,13,2
English (English),en,dark mint green,darkmintgreen,13,2
English (English),en,darkish blue,darkishblue,13,2
English (English),en,dark aqua,darkaqua,13,1
English (English),en,brownish orange,brownishorange,13,1
English (English),en,sapphire blue,sapphireblue,13,1
English (English),en,pale grey,palegray,13,0
English (English),en,soft purple,softpurple,13,0
English (English),en,light navy,lightnavy,13,0
English (English),en,tan brown,tanbrown,13,0
English (English),en,marron,marron,13,0
English (English),en,peach pink,peachpink,13,0
English (English),en,muted yellow,mutedyellow,13,0
English (English),en,chestnut brown,chestnutbrown,13,0
English (English),en,darkish green,darkishgreen,13,0
English (English),en,tan green,tangreen,13,0
English (English),en,pea soup,peasoup,13,0
English (English),en,drab green,drabgreen,13,0
English (English),en,charcoal grey,charcoalgray,13,0
English (English),en,rust brown,rustbrown,13,0
English (English),en,dusky purple,duskypurple,13,0
English (English),en,line green,linegreen,12,10
English (English),en,yellow gold,yellowgold,12,9
English (English),en,chartruese,chartruese,12,6
English (English),en,honey,honey,12,6
English (English),en,firetruck red,firetruckred,12,4
English (English),en,indigo blue,indigoblue,12,4
English (English),en,lavender purple,lavenderpurple,12,3
English (English),en,fluro green,flurogreen,12,3
English (English),en,dark coral,darkcoral,12,1
English (English),en,perrywinkle,perrywinkle,12,1
English (English),en,carmine,carmine,12,1
English (English),en,seaweed green,seaweedgreen,12,1
English (English),en,sandstone,sandstone,12,0
English (English),en,avacado,avacado,12,0
English (English),en,ecru,ecru,12,0
English (English),en,brownish red,brownishred,12,0
English (English),en,heather,heather,12,0
English (English),en,gross green,grossgreen,12,0
English (English),en,irish green,irishgreen,12,0
English (English),en,dark lime,darklime,12,0
English (English),en,swamp,swamp,12,0
English (English),en,raw umber,rawumber,12,0
English (English),en,russet,russet,12,0
English (English),en,racing green,racinggreen,12,0
English (English),en,medium brown,mediumbrown,12,0
English (English),en,olive brown,olivebrown,12,0
English (English),en,green gold,greengold,12,0
English (English),en,pinkish brown,pinkishbrown,12,0
English (English),en,dark grey blue,darkgrayblue,12,0
English (English),en,brown purple,brownpurple,12,0
"Korean (한국어, 조선어)",ko,보라색,보라색,801,128
"Korean (한국어, 조선어)",ko,연두색,연두색,644,161
"Korean (한국어, 조선어)",ko,초록색,초록색,509,45
"Korean (한국어, 조선어)",ko,자주색,자주색,409,67
"Korean (한국어, 조선어)",ko,갈색,갈색,406,4
"Korean (한국어, 조선어)",ko,하늘색,하늘색,399,189
