reason_excluded,participantId,langAbv,lang,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
participant id,6870,fr,"French (français, langue française)",ytd,ytd,rgb,255,229,0,3,5,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",rtg,rtg,rgb,182,255,0,3,6,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",zt,zt,rgb,188,0,255,3,7,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",cgb,cgb,rgb,0,47,255,3,8,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",ghe,ghe,rgb,255,0,52,3,9,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",gtz,gtz,rgb,214,255,0,3,10,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",gtz,gtz,rgb,255,0,254,3,11,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",jr,jr,rgb,255,124,0,6,0,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",ku,ku,rgb,0,255,193,6,1,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",ju,ju,rgb,0,111,255,6,2,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",'§j,'§j,rgb,0,255,52,6,3,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",hyz,hyz,rgb,0,190,255,6,4,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",k,k,rgb,255,0,118,6,5,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",jy,jy,rgb,151,0,255,6,6,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",jy',jy',rgb,247,255,0,6,7,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",jyet,jyet,rgb,255,0,207,6,8,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",jytr,jytr,rgb,255,0,40,6,9,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",hjy,hjy,rgb,0,176,255,6,10,line,white,en,1.1.2,
participant id,6870,fr,"French (français, langue française)",y,y,rgb,0,151,255,6,11,line,white,en,1.1.2,
excluded name,6996,sv,Swedish (svenska),cyan,cyan,rgb,255,0,180,1,6,line,white,en,1.1.2,
excluded name,6996,sv,Swedish (svenska),cyan,cyan,rgb,255,0,213,6,6,line,white,en,1.1.2,
excluded name,6996,sv,Swedish (svenska),cyan,cyan,rgb,255,0,249,6,11,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),green,Green,rgb,34,255,0,1,0,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),cyan,Cyan,rgb,0,248,255,1,1,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),blue,Blue,rgb,0,14,255,1,2,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),blue,Blue,rgb,0,63,255,1,4,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),red,Red,rgb,255,65,0,1,5,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),yellow,Yellow,rgb,248,255,0,1,7,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),blue,Blue,rgb,94,0,255,1,10,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),yellow,Yellow,rgb,224,255,0,3,2,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),blue,Blue,rgb,0,130,255,3,3,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),blue,Blue,rgb,0,156,255,3,5,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),red,Red,rgb,255,0,8,3,6,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),green,Green,rgb,0,255,151,3,8,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),blue,Blue,rgb,0,73,255,3,11,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),cyan,Cyan,rgb,0,255,217,6,3,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),blue,Blue,rgb,0,94,255,6,6,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),green,Green,rgb,0,255,114,6,7,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),yellow,Yellow,rgb,175,255,0,6,9,line,white,en,1.1.2,
excluded name,7044,de,German (Deutsch),cyan,Cyan,rgb,0,255,248,6,10,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",violet,Violet,rgb,250,0,255,1,0,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",green,Green,rgb,0,255,143,1,1,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",orange,Orange,rgb,255,66,0,1,2,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",aquamarine,Aquamarine,rgb,0,255,219,1,3,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",pink red,Pink red,rgb,255,0,89,1,4,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",purple,Purple,rgb,129,0,255,1,5,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",violet,Violet,rgb,255,0,187,1,6,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",aquamarine,Aquamarine,rgb,0,255,176,1,7,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",yellow,Yellow,rgb,255,196,0,1,8,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",aquamarine,Aquamarine,rgb,0,254,255,1,9,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",neon green,Neon green,rgb,72,255,0,1,10,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",aquamarine,Aquamarine,rgb,0,219,255,1,11,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",violet,Violet,rgb,255,0,117,3,0,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",sky blue,Sky blue,rgb,0,165,255,3,1,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",yellow,Yellow,rgb,220,255,0,3,2,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",navy blue,Navy blue,rgb,0,41,255,3,3,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",yellow,Yellow,rgb,255,222,0,3,4,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",red,Red,rgb,255,0,73,3,5,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",navy blue,Navy blue,rgb,35,0,255,3,6,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",green,Green,rgb,0,255,50,3,7,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",sky blue,Sky blue,rgb,0,153,255,3,8,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",violet,Violet,rgb,214,0,255,3,9,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",sky blue,Sky blue,rgb,0,112,255,3,10,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",orange,Orange,rgb,255,136,0,3,11,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",sky blue,Sky blue,rgb,0,127,255,6,0,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",bright green,Bright green,rgb,180,255,0,6,1,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",yellow,Yellow,rgb,253,255,0,6,2,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",orange,Orange,rgb,255,153,0,6,3,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",aquamarine,Aquamarine,rgb,0,255,250,6,4,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",green,Green,rgb,0,255,112,6,5,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",violet,Violet,rgb,255,0,143,6,6,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",aquamarine,Aquamarine,rgb,0,200,255,6,7,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",navy blue,Navy blue,rgb,0,68,255,6,8,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",violet,Violet,rgb,255,0,232,6,9,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",orange,Orange,rgb,255,98,0,6,10,line,white,en,1.1.2,
participant id,7111,et,"Estonian (eesti, eesti keel)",red,Red,rgb,255,0,47,6,11,line,white,en,1.1.2,
ignoring characters left nothing,7119,en,English (English),?,?,rgb,238,101,130,1,6,full,white,en,1.1.2,
excluded name,7215,de,German (Deutsch),cyan,Cyan,rgb,0,241,255,1,7,line,white,en,1.1.2,
excluded name,7232,fr,"French (français, langue française)",lime,Lime,rgb,255,247,0,1,4,line,white,en,1.1.2,
excluded name,7243,de,German (Deutsch),cyan,cyan,rgb,255,0,178,3,9,line,white,en,1.1.2,
excluded name,7264,ro,Romanian (limba română),blue,blue,rgb,0,103,255,6,7,line,white,en,1.1.2,
excluded name,7264,ro,Romanian (limba română),blue,blue,rgb,0,12,255,6,8,line,white,en,1.1.2,
excluded name,7285,fr,"French (français, langue française)",vert flash,vert flash,rgb,172,255,0,1,10,line,white,en,1.1.2,
excluded name,7340,sv,Swedish (svenska),magenta,magenta,rgb,255,0,225,3,1,line,white,en,1.1.2,
excluded name,7340,sv,Swedish (svenska),magenta,magenta,rgb,255,0,151,6,2,line,white,en,1.1.2,
excluded name,7371,fr,"French (français, langue française)",jaune primaire,jaune primaire,rgb,255,198,0,1,0,line,white,en,1.1.2,
excluded name,7371,fr,"French (français, langue française)",jaune primaire,jaune primaire,rgb,255,233,0,6,3,line,white,en,1.1.2,
excluded name,7429,fr,"French (français, langue française)",bleu flashy,bleu flashy,rgb,0,251,255,1,4,line,white,en,1.1.2,
excluded name,7429,fr,"French (français, langue française)",bleu flashy,bleu flashy,rgb,0,255,231,3,4,line,white,en,1.1.2,
excluded name,7441,pl,"Polish (język polski, polszczyzna)",pink,pink,rgb,255,0,141,3,1,line,white,en,1.1.2,
excluded name,7441,pl,"Polish (język polski, polszczyzna)",pink,pink,rgb,255,0,157,3,3,line,white,en,1.1.2,
excluded name,7441,pl,"Polish (język polski, polszczyzna)",pink,pink,rgb,255,0,81,3,5,line,white,en,1.1.2,
excluded name,7441,pl,"Polish (język polski, polszczyzna)",blue,blue,rgb,0,89,255,3,7,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",dark pink,dark pink,rgb,255,0,87,1,0,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",pastel green,pastel green,rgb,0,255,193,1,1,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",light green,light green,rgb,81,255,0,1,2,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",dark blue,dark blue,rgb,0,84,255,1,3,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",orange,orange,rgb,255,196,0,1,4,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",purple,purple,rgb,255,0,209,1,5,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",turqose,turqose,rgb,0,252,255,1,7,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",light blue,light blue,rgb,0,176,255,1,8,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",dark purple,dark purple,rgb,255,0,128,1,9,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",grass green,grass green,rgb,0,255,90,1,10,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",lime green,lime green,rgb,145,255,0,1,11,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",yellow,yellow,rgb,255,239,0,3,0,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",very light green,very light green,rgb,195,255,0,3,1,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",light red,light red,rgb,255,0,64,3,2,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",blue,blue,rgb,0,92,255,3,3,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",bright red,bright red,rgb,255,0,27,3,4,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",pastel green,pastel green,rgb,0,255,172,3,5,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",light yellow,light yellow,rgb,254,255,0,3,6,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",purple,purple,rgb,218,0,255,3,7,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",light blue,light blue,rgb,0,211,255,3,8,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",dark pastel green,dark pastel green,rgb,0,255,147,3,9,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",dark orange,dark orange,rgb,255,133,0,3,10,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",light brown,light brown,rgb,255,170,0,3,11,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,0,56,255,6,0,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,255,115,0,6,1,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,0,156,255,6,2,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,0,255,225,6,3,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,0,116,255,6,4,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,0,255,61,6,5,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ert,ert,rgb,255,0,157,6,6,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,255,0,234,6,7,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,144,0,255,6,8,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",etr,etr,rgb,0,196,255,6,9,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,243,0,255,6,10,line,white,en,1.1.2,
participant id,7454,nl,"Dutch (Nederlands, Vlaams)",ret,ret,rgb,71,0,255,6,11,line,white,en,1.1.2,
excluded name,7511,pl,"Polish (język polski, polszczyzna)",blue,blue,rgb,0,197,255,1,10,line,white,en,1.1.2,
excluded name,7511,pl,"Polish (język polski, polszczyzna)",pink,pink,rgb,252,0,255,3,0,line,white,en,1.1.2,
excluded name,7511,pl,"Polish (język polski, polszczyzna)",pink,pink,rgb,255,0,212,3,10,line,white,en,1.1.2,
excluded name,7511,pl,"Polish (język polski, polszczyzna)",pink,pink,rgb,255,0,161,6,0,line,white,en,1.1.2,
excluded name,7511,pl,"Polish (język polski, polszczyzna)",blue,blue,rgb,0,78,255,6,4,line,white,en,1.1.2,
excluded name,7511,pl,"Polish (język polski, polszczyzna)",pink,pink,rgb,255,0,182,6,10,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),purple,Purple,rgb,224,0,255,1,0,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),light blue,Light blue,rgb,0,197,255,1,1,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),blue,Blue,rgb,0,84,255,1,2,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),orange,Orange,rgb,255,203,0,1,3,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),light green,Light green,rgb,187,255,0,1,4,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),green,Green,rgb,0,255,98,1,5,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),yellow,Yellow,rgb,255,225,0,1,6,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),blue,Blue,rgb,0,5,255,1,7,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),light blue,Light blue,rgb,0,175,255,1,8,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),pink,Pink,rgb,255,0,222,1,9,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),purple,Purple,rgb,195,0,255,1,10,line,white,en,1.1.2,
ignoring characters left nothing,7538,el,Greek (modern) (ελληνικά),blue,Blue,rgb,0,36,255,1,11,line,white,en,1.1.2,
participant id,7583,aa,Afar (Afaraf),r,r,rgb,255,0,251,1,0,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),s,s,rgb,255,0,159,1,1,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),e,e,rgb,0,76,255,1,2,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),f,f,rgb,0,255,74,1,3,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),f,f,rgb,0,255,87,1,4,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),f,f,rgb,255,94,0,1,5,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),d,d,rgb,206,255,0,1,6,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),a,a,rgb,0,52,255,1,7,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),f,f,rgb,255,174,0,1,8,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),f,f,rgb,0,123,255,1,9,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),f,f,rgb,0,255,251,1,10,line,white,ko,1.1.2,
participant id,7583,aa,Afar (Afaraf),f,f,rgb,0,188,255,1,11,line,white,ko,1.1.2,
forbidden characters,7669,ko,"Korean (한국어, 조선어)",노란색 (uw 노란색...)색,노란색 (UW 노란색...),rgb,246,172,36,1,11,full,white,en,1.1.2,
forbidden characters,7743,ko,"Korean (한국어, 조선어)",형광하늘색 cyan색,형광하늘색 cyan,rgb,82,250,251,6,4,full,white,ko,1.1.2,
participant id,7916,en,English (English),1,1,rgb,0,255,137,1,0,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),2,2,rgb,0,106,255,1,1,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),3,3,rgb,255,138,0,1,2,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),4,4,rgb,255,0,226,1,3,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),5,5,rgb,255,0,180,1,4,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),6,6,rgb,0,255,72,1,5,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),7,7,rgb,255,99,0,1,6,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),8,8,rgb,255,200,0,1,7,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),9,9,rgb,0,166,255,1,8,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),00,00,rgb,0,255,176,1,9,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),87,87,rgb,71,0,255,1,10,line,white,ko,1.1.2,bn
participant id,7916,en,English (English),43,43,rgb,0,207,255,1,11,line,white,ko,1.1.2,bn
participant id,7983,pl,"Polish (język polski, polszczyzna)",e1d722,E1D722,rgb,224,255,0,1,0,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",20b055,20B055,rgb,0,255,67,1,1,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",a71ca9,A71CA9,rgb,255,0,212,1,2,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",1862d0,1862D0,rgb,0,98,255,1,3,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",1cc7d7,1CC7D7,rgb,0,255,246,1,4,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",cba758,CBA758,rgb,255,157,0,1,5,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",ae7b15,AE7B15,rgb,255,127,0,1,6,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",267da0,267DA0,rgb,0,116,255,1,7,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",244197,244197,rgb,0,51,255,1,8,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",902121,902121,rgb,255,0,49,1,9,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",202077,202077,rgb,0,33,255,1,10,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",1cb748,1CB748,rgb,77,255,0,1,11,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",1dc1ae,1DC1AE,rgb,0,255,177,3,0,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",b61dc1,B61DC1,rgb,255,0,254,3,1,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",1ac6d6,1AC6D6,rgb,0,234,255,3,2,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",d01cdd,D01CDD,rgb,255,0,202,3,3,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",1ad678,1AD678,rgb,0,255,137,3,4,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",b5355b,B5355B,rgb,255,0,91,3,5,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",35b550,35B550,rgb,0,255,97,3,6,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",b53535,B53535,rgb,255,20,0,3,7,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",9c3131,9C3131,rgb,255,0,30,3,8,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",20b8cc,20B8CC,rgb,0,193,255,3,9,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",20a7cc,20A7CC,rgb,0,180,255,3,10,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",20cccc,20CCCC,rgb,0,255,221,3,11,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",kurwa,kurwa,rgb,0,77,255,6,0,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",mam,mam,rgb,242,255,0,6,1,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",dosyc,dosyc,rgb,255,0,163,6,2,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",tego,tego,rgb,0,216,255,6,3,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",badziewia,badziewia,rgb,141,0,255,6,4,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",co,co,rgb,190,0,255,6,5,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",to,to,rgb,255,215,0,6,6,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",ma,ma,rgb,255,102,0,6,7,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",byc,byc,rgb,255,0,127,6,8,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",do,do,rgb,255,197,0,6,9,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",chuja,chuja,rgb,178,255,0,6,10,line,white,en,1.1.2,
participant id,7983,pl,"Polish (język polski, polszczyzna)",pana,pana,rgb,0,157,255,6,11,line,white,en,1.1.2,
excluded name,8117,de,German (Deutsch),blue,Blue,rgb,0,89,255,1,0,line,white,en,1.1.2,
excluded name,8117,de,German (Deutsch),red,red,rgb,255,0,51,1,2,line,white,en,1.1.2,
excluded name,8117,de,German (Deutsch),yellow,yellow,rgb,255,229,0,1,3,line,white,en,1.1.2,
excluded name,8117,de,German (Deutsch),red,red,rgb,255,0,81,1,6,line,white,en,1.1.2,
excluded name,8117,de,German (Deutsch),green,green,rgb,116,255,0,1,8,line,white,en,1.1.2,
excluded name,8117,de,German (Deutsch),green,green,rgb,148,255,0,1,10,line,white,en,1.1.2,
excluded name,8117,de,German (Deutsch),green,green,rgb,0,255,45,1,11,line,white,en,1.1.2,
excluded name,8188,de,German (Deutsch),cyan,cyan,rgb,0,255,227,1,9,line,white,en,1.1.2,
excluded name,8188,de,German (Deutsch),cyan,cyan,rgb,0,253,255,6,11,line,white,en,1.1.2,
excluded name,8258,en,English (English),1,1,rgb,237,229,137,3,0,full,white,en,1.1.2,
excluded name,8258,en,English (English),2,2,rgb,192,29,32,3,1,full,white,en,1.1.2,
excluded name,8258,en,English (English),3,3,rgb,241,236,69,3,2,full,white,en,1.1.2,
excluded name,8258,en,English (English),4,4,rgb,166,130,116,3,3,full,white,en,1.1.2,
excluded name,8258,en,English (English),5,5,rgb,56,194,254,3,4,full,white,en,1.1.2,
excluded name,8258,en,English (English),6,6,rgb,117,225,176,3,5,full,white,en,1.1.2,
excluded name,8258,en,English (English),7,7,rgb,128,58,217,3,6,full,white,en,1.1.2,
excluded name,8258,en,English (English),8,8,rgb,254,61,155,3,7,full,white,en,1.1.2,
excluded name,8258,en,English (English),9,9,rgb,253,225,225,3,8,full,white,en,1.1.2,
excluded name,8258,en,English (English),10,10,rgb,155,251,104,3,9,full,white,en,1.1.2,
excluded name,8258,en,English (English),11,11,rgb,239,8,68,3,10,full,white,en,1.1.2,
excluded name,8258,en,English (English),12,12,rgb,154,67,74,3,11,full,white,en,1.1.2,
excluded name,8258,en,English (English),1,1,rgb,3,9,129,6,0,full,white,en,1.1.2,
excluded name,8258,en,English (English),2,2,rgb,111,98,43,6,1,full,white,en,1.1.2,
excluded name,8258,en,English (English),3,3,rgb,255,25,190,6,2,full,white,en,1.1.2,
excluded name,8258,en,English (English),4,4,rgb,184,110,21,6,3,full,white,en,1.1.2,
excluded name,8258,en,English (English),5,5,rgb,214,172,72,6,4,full,white,en,1.1.2,
excluded name,8258,en,English (English),6,6,rgb,19,215,74,6,5,full,white,en,1.1.2,
excluded name,8258,en,English (English),7,7,rgb,71,82,113,6,6,full,white,en,1.1.2,
excluded name,8258,en,English (English),8,8,rgb,146,175,148,6,7,full,white,en,1.1.2,
excluded name,8258,en,English (English),9,9,rgb,120,4,253,6,8,full,white,en,1.1.2,
excluded name,8258,en,English (English),10,10,rgb,82,150,53,6,9,full,white,en,1.1.2,
excluded name,8258,en,English (English),11,11,rgb,4,66,168,6,10,full,white,en,1.1.2,
excluded name,8258,en,English (English),12,12,rgb,223,112,197,6,11,full,white,en,1.1.2,
excluded name,8292,de,German (Deutsch),cyan,Cyan,rgb,0,183,255,1,2,line,white,en,1.1.2,
