lang,name,avgColorRGBCode,binPctCnt,totalColorFraction,langAbv,commonName,avgL,avgA,avgB,numFullNames,numLineNames
English (English),navygreen,"rgb(96, 118, 62)",0.3219698555390589,0.00025371935030658676,en,navy green,46.89655172413793,-16.20689655172414,27.93103448275862,29,0
English (English),treegreen,"rgb(75, 146, 69)",0.2569732714398234,0.00020250060791160218,en,tree green,54.48275862068967,-35.172413793103445,33.10344827586207,29,0
English (English),coolgray,"rgb(130, 142, 155)",0.2946256184776219,0.0002321714881620344,en,cool grey,58.27586206896552,-2.413793103448276,-8.620689655172413,29,0
English (English),darkbeige,"rgb(183, 152, 105)",0.27591090616590896,0.00021742388192743005,en,dark beige,64.82758620689654,7.586206896551724,28.96551724137932,29,0
English (English),caramel,"rgb(192, 143, 59)",0.26630934181104327,0.00020985763736094802,en,caramel,63.10344827586207,13.103448275862071,50.6896551724138,29,0
English (English),strawberry,"rgb(241, 42, 91)",0.14680338771957022,0.00011568430868366438,en,strawberry,53.92857142857142,73.92857142857142,25,15,13
English (English),vomit,"rgb(164, 180, 66)",0.21616541602277967,0.00017034311743323836,en,vomit,70.35714285714286,-17.14285714285714,53.928571428571445,26,2
English (English),warmgray,"rgb(145, 138, 130)",0.3046773146001973,0.00024009244649345708,en,warm grey,57.85714285714286,1.4285714285714284,5.357142857142856,28,0
English (English),turquoisegreen,"rgb(54, 217, 158)",0.10714132413188868,0.00008442972744829675,en,turquoise green,77.77777777777776,-53.33333333333332,17.037037037037035,19,8
English (English),lightcyan,"rgb(128, 229, 229)",0.1595280669956933,0.00012571163671843433,en,light cyan,84.8148148148148,-30.740740740740733,-10,19,8
English (English),purplishpink,"rgb(216, 62, 205)",0.19857017722111,0.00015647768102530326,en,purplish pink,54.44444444444444,70.74074074074075,-42.22222222222222,20,7
English (English),canaryyellow,"rgb(246, 238, 48)",0.22874097099996074,0.00018025293223007134,en,canary yellow,92.59259259259258,-11.111111111111109,82.96296296296296,13,14
English (English),turquoiseblue,"rgb(62, 209, 220)",0.09058717254736438,0.00007138469073866376,en,turquoise blue,76.66666666666667,-36.66666666666666,-17.407407407407405,14,13
English (English),bubblegum,"rgb(237, 109, 172)",0.2724344700535117,0.00021468437356462683,en,bubblegum,63.70370370370371,55.185185185185176,-8.88888888888889,26,1
English (English),darkmauve,"rgb(149, 76, 114)",0.2751388044453861,0.00021681544873552864,en,dark mauve,42.59259259259257,34.444444444444436,-7.4074074074074066,25,2
English (English),bluishpurple,"rgb(113, 90, 216)",0.22173434065244754,0.0001747315529176102,en,bluish purple,45.92592592592588,33.70370370370371,-62.592592592592595,25,2
English (English),purplishblue,"rgb(89, 69, 204)",0.20610503119850831,0.00016241531221316638,en,purplish blue,38.148148148148145,37.03703703703703,-68.5185185185185,24,3
English (English),auburn,"rgb(169, 79, 46)",0.25390324597110187,0.00020008136010331098,en,auburn,45.185185185185176,35.925925925925924,37.4074074074074,25,2
English (English),darkolivegreen,"rgb(86, 106, 47)",0.31608712799992017,0.0002490836312056106,en,dark olive green,42.2222222222222,-15.55555555555555,29.999999999999996,27,0
English (English),sepia,"rgb(165, 108, 49)",0.2763390709264968,0.00021776128520606505,en,sepia,51.111111111111086,19.629629629629623,41.48148148148148,27,0
English (English),darkskyblue,"rgb(62, 139, 230)",0.12572047916039208,0.00009907051155271235,en,dark sky blue,56.538461538461576,-0.7692307692307709,-53.846153846153854,15,11
English (English),darkfuchsia,"rgb(174, 36, 124)",0.20783084050811929,0.00016377528802846264,en,dark fuschia,41.153846153846146,59.615384615384635,-15.000000000000002,25,1
English (English),lightaqua,"rgb(118, 235, 214)",0.1276689875115252,0.0001006059791264973,en,light aqua,85.76923076923077,-38.46153846153846,-0.7692307692307696,20,6
English (English),fern,"rgb(110, 174, 96)",0.18914681625244867,0.00014905186465913987,en,fern,65.3846153846154,-32.69230769230769,33.07692307692308,25,1
English (English),limeyellow,"rgb(206, 238, 57)",0.11300645130231618,0.00008905157707038304,en,lime yellow,89.61538461538464,-26.92307692307693,76.53846153846153,18,8
English (English),darknavyblue,"rgb(29, 46, 77)",0.4153887485327698,0.00032733549923780094,en,dark navy blue,18.84615384615385,0.7692307692307693,-21.153846153846153,26,0
English (English),mutedpurple,"rgb(138, 97, 145)",0.2763400143581101,0.0002177620286509928,en,muted purple,46.92307692307693,23.461538461538467,-20,26,0
English (English),darkpeach,"rgb(220, 147, 119)",0.3000182475790643,0.0002364209988802711,en,dark peach,68.07692307692308,26.153846153846153,26.538461538461537,26,0
English (English),lightlimegreen,"rgb(162, 243, 103)",0.14698441330145404,0.0001158269608364491,en,light lime green,88.40000000000002,-42.80000000000002,57.60000000000001,18,7
English (English),hotpurple,"rgb(198, 47, 217)",0.14101453057380753,0.0001111225615238829,en,hot purple,50.40000000000002,72.40000000000003,-55.600000000000016,20,5
English (English),rouge,"rgb(202, 66, 99)",0.19960541414787286,0.00015729347056569952,en,rouge,49.20000000000002,56.00000000000002,12.8,23,2
English (English),robinsegg,"rgb(115, 205, 229)",0.12939076372984493,0.00010196277677686746,en,robins egg,77.60000000000002,-23.6,-20.4,18,7
English (English),darkolive,"rgb(80, 92, 38)",0.23530210382617303,0.00018542324966601482,en,dark olive,37.2,-11.600000000000001,29.20000000000001,25,0
English (English),dustygreen,"rgb(120, 162, 110)",0.22581820344507644,0.0001779497269070735,en,dusty green,62.40000000000001,-22.400000000000002,22.400000000000002,25,0
English (English),darkforestgreen,"rgb(33, 68, 34)",0.306622067040341,0.00024162495432650965,en,dark forest green,25.600000000000005,-19.6,16.400000000000002,25,0
English (English),chestnut,"rgb(141, 76, 42)",0.3065612784223129,0.00024157705155422588,en,chestnut,40.00000000000001,26.000000000000007,32.400000000000006,25,0
English (English),cranberry,"rgb(206, 42, 93)",0.13411168729928744,0.00010568296871496242,en,cranberry,47.08333333333334,64.58333333333333,13.33333333333333,17,7
English (English),camel,"rgb(200, 148, 82)",0.1997895057938576,0.0001574385388446473,en,camel,65.41666666666666,15,42.5,23,1
English (English),sunflower,"rgb(245, 214, 56)",0.13195992917897456,0.00010398733583843534,en,sunflower,86.25,6.938893903907228e-17,75.41666666666666,14,10
English (English),vomitgreen,"rgb(133, 155, 57)",0.1875976605301774,0.00014783109576846118,en,vomit green,60.83333333333333,-18.750000000000004,47.08333333333333,22,2
English (English),redishpink,"rgb(230, 57, 104)",0.16628797340117962,0.00013103859212070882,en,redish pink,53.33333333333333,67.91666666666669,16.25,15,9
English (English),burgendy,"rgb(149, 48, 61)",0.24679572287696375,0.0001944804750803495,en,burgendy,36.25,43.75,16.666666666666664,24,0
English (English),bottlegreen,"rgb(56, 97, 50)",0.3423933032196785,0.0002698134777144824,en,bottle green,37.08333333333333,-22.5,21.666666666666664,24,0
English (English),lilacpurple,"rgb(163, 126, 204)",0.224652656681903,0.00017703125034034895,en,lilac purple,58.749999999999986,26.249999999999993,-35.416666666666664,24,0
English (English),sunfloweryellow,"rgb(247, 217, 50)",0.1221279268179718,0.00009623950103859077,en,sunflower yellow,87.39130434782606,-0.8695652173913047,78.26086956521738,15,8
English (English),rustorange,"rgb(220, 110, 25)",0.1373583659795532,0.00010824142315173607,en,rust orange,59.1304347826087,40.86956521739131,61.73913043478261,16,7
English (English),sapphire,"rgb(63, 74, 204)",0.1054667742736023,0.00008311014521166447,en,sapphire,37.391304347826086,29.56521739130435,-69.99999999999999,15,8
English (English),perriwinkle,"rgb(133, 144, 212)",0.1916059504562392,0.00015098971667158316,en,perriwinkle,60.8695652173913,8.695652173913043,-36.52173913043478,22,1
English (English),steel,"rgb(121, 141, 153)",0.22304048203241905,0.0001757608211445381,en,steel,57.39130434782608,-5.6521739130434785,-8.695652173913045,23,0
English (English),graypink,"rgb(184, 141, 153)",0.2430127421696074,0.0001914994028129292,en,grey pink,63.04347826086956,18.260869565217387,0,23,0
English (English),lightolive,"rgb(159, 183, 99)",0.2019385958821854,0.00015913206925310104,en,light olive,71.30434782608697,-18.69565217391304,39.99999999999999,23,0
English (English),brownyellow,"rgb(169, 144, 48)",0.190612867746017,0.0001502071455839376,en,brown yellow,60.86956521739131,1.7391304347826086,52.173913043478265,23,0
English (English),mutedpink,"rgb(213, 137, 165)",0.21828966824203352,0.00017201707505282374,en,muted pink,65.6521739130435,32.608695652173914,-2.1739130434782608,23,0
English (English),blueishgray,"rgb(112, 138, 158)",0.22325003688912617,0.00017592595499537115,en,blueish grey,56.086956521739125,-6.086956521739131,-13.478260869565215,23,0
English (English),darksalmon,"rgb(213, 101, 94)",0.19698078459332552,0.0001552252045652682,en,dark salmon,56.81818181818181,44.54545454545456,25.909090909090907,20,2
English (English),brightviolet,"rgb(191, 58, 233)",0.26605019727836465,0.0002096534257512722,en,bright violet,51.36363636363636,70,-63.18181818181819,17,5
English (English),puple,"rgb(165, 50, 202)",0.2012140062739699,0.00015856107665403445,en,puple,44.54545454545455,62.272727272727295,-56.818181818181834,14,8
English (English),linegreen,"rgb(138, 242, 43)",0.09934381645453308,0.00007828511934951378,en,line green,86.81818181818181,-53.18181818181819,75.9090909090909,12,10
English (English),spearmint,"rgb(86, 214, 141)",0.09737700259446852,0.00007673522663078679,en,spearmint,77.27272727272725,-49.54545454545454,25.45454545454545,16,6
English (English),acidgreen,"rgb(156, 239, 54)",0.09325912492728965,0.00007349024816965292,en,acid green,86.81818181818181,-45.90909090909091,73.63636363636365,14,8
English (English),cadetblue,"rgb(80, 120, 168)",0.5049712867667224,0.0003979285159706241,en,cadet blue,49.09090909090911,-3.636363636363635,-30.45454545454545,20,2
English (English),lightskyblue,"rgb(140, 221, 243)",0.41599112114955666,0.00032781018215095057,en,light sky blue,83.63636363636365,-21.818181818181817,-18.636363636363637,15,7
English (English),crimsonred,"rgb(201, 26, 49)",0.11211348548720763,0.00008834790030512808,en,crimson red,44.09090909090908,65.00000000000001,36.36363636363635,19,3
English (English),burntyellow,"rgb(213, 171, 39)",0.13887150864943895,0.00010943381296252074,en,burnt yellow,72.27272727272728,7.272727272727272,67.27272727272728,16,6
English (English),greenapple,"rgb(103, 224, 68)",0.12355139717470934,0.00009736122708802933,en,green apple,79.99999999999999,-55.9090909090909,61.81818181818181,14,8
English (English),violetblue,"rgb(86, 52, 206)",0.131394748713573,0.00010354196116120796,en,violet blue,34.54545454545454,45.90909090909093,-75.45454545454545,19,3
English (English),rustyorange,"rgb(208, 98, 27)",0.13405306683035115,0.00010563677449200238,en,rusty orange,55,41.81818181818181,57.27272727272728,16,6
English (English),brightmagenta,"rgb(238, 44, 209)",0.10758257998681528,0.00008477744679812071,en,bright magenta,56.81818181818181,80.9090909090909,-40.45454545454545,20,2
English (English),palered,"rgb(216, 86, 89)",0.19621432637100716,0.0001546212185744736,en,pale red,54.54545454545456,52.27272727272728,25.909090909090903,19,3
English (English),darkrose,"rgb(192, 76, 115)",0.18460781632127818,0.00014547503256207882,en,dark rose,49.54545454545455,50.00000000000001,3.181818181818181,20,2
English (English),verydarkgreen,"rgb(25, 58, 36)",0.3211258135612828,0.0002530542266046355,en,very dark green,21.363636363636363,-17.27272727272727,10,22,0
English (English),coolgreen,"rgb(78, 196, 126)",0.10894278686104,0.00008584931982745461,en,cool green,71.36363636363637,-46.818181818181806,25,18,4
English (English),lighttan,"rgb(231, 208, 157)",0.21167159268970834,0.0001668018854922838,en,light tan,84.54545454545453,2.727272727272727,28.63636363636363,22,0
English (English),yellowgold,"rgb(234, 197, 51)",0.1808178462468939,0.0001424884525192228,en,yellow gold,80.95238095238096,3.333333333333333,71.90476190476188,12,9
English (English),softblue,"rgb(72, 137, 206)",0.22809800010343081,0.00017974625697669868,en,soft blue,55.23809523809524,-4.761904761904761,-42.38095238095237,16,5
English (English),dullyellow,"rgb(227, 217, 85)",0.24392870482753087,0.0001922212015977389,en,dull yellow,85.71428571428572,-8.095238095238095,63.8095238095238,19,2
English (English),dullorange,"rgb(223, 132, 51)",0.16391110317786078,0.0001291655659400005,en,dull orange,64.28571428571428,31.9047619047619,56.66666666666667,16,5
English (English),violetpurple,"rgb(154, 65, 188)",0.16752723687788107,0.00013201515908422453,en,violet purple,44.28571428571428,51.904761904761905,-49.047619047619044,17,4
English (English),fadedblue,"rgb(108, 148, 198)",0.17486016225168716,0.0001377936660769795,en,faded blue,60.000000000000014,-4.2857142857142865,-30.476190476190474,17,4
English (English),softpink,"rgb(229, 140, 197)",0.2627822624065609,0.00020707822096655685,en,soft pink,69.04761904761904,40.47619047619047,-14.761904761904763,20,1
English (English),darkyellowgreen,"rgb(123, 149, 34)",0.1454016774253509,0.00011457973004361763,en,dark yellow green,58.0952380952381,-21.428571428571423,52.857142857142854,20,1
English (English),avocadogreen,"rgb(147, 189, 88)",0.16392569537333138,0.00012917706491200254,en,avocado green,71.9047619047619,-26.666666666666664,45.71428571428571,21,0
English (English),burntred,"rgb(166, 53, 43)",0.17079548031464242,0.00013459060702493482,en,burnt red,40.00000000000001,46.66666666666667,33.33333333333334,21,0
English (English),khakigreen,"rgb(131, 147, 78)",0.22614786089441002,0.00017820950425091397,en,khaki green,58.57142857142858,-14.285714285714285,34.28571428571429,21,0
English (English),seaweed,"rgb(82, 125, 68)",0.22330374712583256,0.00017596827984699162,en,seaweed,48.095238095238095,-24.285714285714278,26.19047619047619,21,0
